"Team","Att","Cmp","Cmp %","Yds/Att","Pass Yds","TD","INT","Rate","1st","1st%","20+","40+","Lng","Sck","SckY","Year"
"49ers",383,226,59,7.8,2990,25,10,94.7,0,0,0,0,"0",8,67,1970
"Bears",422,210,49.8,5.8,2431,21,22,62.4,0,0,0,0,"0",33,258,1970
"Bengals",339,172,50.7,6.2,2097,12,11,68.4,0,0,0,0,"0",31,227,1970
"Bills",402,213,53,7.3,2916,13,26,60.3,0,0,0,0,"0",53,486,1970
"Broncos",403,183,45.4,5.9,2358,11,28,44.5,0,0,0,0,"0",44,333,1970
"Browns",392,190,48.5,7,2752,17,24,60.7,0,0,0,0,"0",16,170,1970
"Cardinals",390,178,45.6,6.9,2689,16,19,62.2,0,0,0,0,"0",26,216,1970
"Chargers",387,192,49.6,7.6,2936,24,19,75.3,0,0,0,0,"0",57,433,1970
"Chiefs",289,154,53.3,7.1,2038,13,16,67.8,0,0,0,0,"0",38,319,1970
"Colts",416,219,52.6,7.4,3087,23,22,73.3,0,0,0,0,"0",33,289,1970
"Cowboys",297,149,50.2,8.2,2445,18,16,75.9,0,0,0,0,"0",39,296,1970
"Dolphins",299,159,53.2,7.6,2284,15,19,68.5,0,0,0,0,"0",36,327,1970
"Eagles",410,218,53.2,6.5,2651,16,23,63,0,0,0,0,"0",23,200,1970
"Falcons",342,197,57.6,6.6,2262,18,21,69.6,0,0,0,0,"0",53,431,1970
"Giants",403,230,57.1,7.2,2892,19,12,82.9,0,0,0,0,"0",37,258,1970
"Jets",386,193,50,6.7,2592,14,22,60.1,0,0,0,0,"0",35,285,1970
"Lions",294,167,56.8,7.2,2121,19,12,84,0,0,0,0,"0",36,264,1970
"Oilers",470,238,50.6,5.9,2768,12,23,56.9,0,0,0,0,"0",33,262,1970
"Packers",351,177,50.4,6.3,2196,11,24,52.1,0,0,0,0,"0",43,382,1970
"Patriots",392,176,44.9,5,1975,7,28,36.7,0,0,0,0,"0",42,389,1970
"Raiders",418,210,50.2,7.2,3029,28,21,75.5,0,0,0,0,"0",19,164,1970
"Rams",426,218,51.2,6.2,2658,17,13,71.3,0,0,0,0,"0",23,150,1970
"Redskins",342,203,59.4,6.9,2357,23,10,90.5,0,0,0,0,"0",29,249,1970
"Saints",415,213,51.3,6.5,2690,11,22,58.6,0,0,0,0,"0",28,232,1970
"Steelers",384,150,39.1,6,2312,12,32,35.4,0,0,0,0,"0",28,275,1970
"Vikings",344,173,50.3,6.9,2378,12,15,66.3,0,0,0,0,"0",29,197,1970
"49ers",391,209,53.5,6.9,2688,18,24,65,0,0,0,0,"0",11,111,1971
"Bears",443,186,42,5.2,2294,12,28,41.3,0,0,0,0,"0",49,392,1971
"Bengals",365,214,58.6,6.6,2427,15,11,79.8,0,0,0,0,"0",40,303,1971
"Bills",401,202,50.4,6,2410,12,32,45.8,0,0,0,0,"0",49,421,1971
"Broncos",358,175,48.9,6.3,2243,8,27,44.9,0,0,0,0,"0",22,178,1971
"Browns",376,188,50,6.7,2521,14,27,54.2,0,0,0,0,"0",22,222,1971
"Cardinals",385,170,44.2,6.9,2656,14,26,51.6,0,0,0,0,"0",19,185,1971
"Chargers",450,244,54.2,7.3,3305,23,28,69,0,0,0,0,"0",19,171,1971
"Chiefs",337,183,54.3,8,2694,15,13,79.4,0,0,0,0,"0",35,347,1971
"Colts",344,176,51.2,6.3,2152,10,21,55,0,0,0,0,"0",27,230,1971
"Cowboys",361,206,57.1,8.4,3037,22,14,88.8,0,0,0,0,"0",32,251,1971
"Dolphins",293,156,53.2,7.7,2248,20,10,87,0,0,0,0,"0",25,265,1971
"Eagles",390,200,51.3,6.5,2552,13,20,61.8,0,0,0,0,"0",26,229,1971
"Falcons",285,167,58.6,8.8,2495,16,21,75.4,0,0,0,0,"0",31,239,1971
"Giants",462,268,58,6.6,3062,14,25,65.6,0,0,0,0,"0",40,348,1971
"Jets",278,119,42.8,5.6,1556,15,16,55.1,0,0,0,0,"0",23,177,1971
"Lions",299,157,52.5,8.2,2453,17,14,79.5,0,0,0,0,"0",31,252,1971
"Oilers",423,194,45.9,6.2,2643,12,37,39.3,0,0,0,0,"0",31,234,1971
"Packers",254,121,47.6,7.3,1842,12,24,48.4,0,0,0,0,"0",18,157,1971
"Patriots",330,159,48.2,6.7,2206,19,16,69.1,0,0,0,0,"0",36,319,1971
"Raiders",348,174,50,6.8,2363,21,26,61,0,0,0,0,"0",24,235,1971
"Rams",370,185,50,6.2,2304,18,11,73.5,0,0,0,0,"0",26,210,1971
"Redskins",334,182,54.5,7.2,2391,13,15,71.6,0,0,0,0,"0",17,118,1971
"Saints",387,182,47,6.1,2355,12,14,61.9,0,0,0,0,"0",50,400,1971
"Steelers",414,214,51.7,5.9,2446,15,26,55.7,0,0,0,0,"0",37,322,1971
"Vikings",334,157,47,5.7,1910,9,18,51.6,0,0,0,0,"0",28,255,1971
"49ers",380,217,57.1,7.6,2888,27,24,78.7,0,0,0,0,"0",22,153,1972
"Bears",205,78,38,6.3,1283,9,13,48.1,0,0,0,0,"0",32,175,1972
"Bengals",384,219,57,6.5,2513,10,11,73.6,0,0,0,0,"0",24,192,1972
"Bills",316,164,51.9,6.4,2012,16,24,57.1,0,0,0,0,"0",49,411,1972
"Broncos",384,201,52.3,7.6,2900,19,23,68.7,0,0,0,0,"0",38,266,1972
"Browns",337,158,46.9,6.3,2135,13,19,56.9,0,0,0,0,"0",27,219,1972
"Cardinals",363,171,47.1,6.2,2259,11,23,51,0,0,0,0,"0",30,221,1972
"Chargers",377,192,50.9,6.7,2516,15,28,54.6,0,0,0,0,"0",23,212,1972
"Chiefs",384,217,56.5,6.1,2335,20,20,70.2,0,0,0,0,"0",34,297,1972
"Colts",381,203,53.3,6.6,2503,15,12,73.9,0,0,0,0,"0",25,210,1972
"Cowboys",367,196,53.4,7,2580,16,23,64.3,0,0,0,0,"0",31,238,1972
"Dolphins",259,144,55.6,8.6,2235,17,12,86.9,0,0,0,0,"0",21,159,1972
"Eagles",375,184,49.1,6.7,2527,10,20,57.7,0,0,0,0,"0",53,457,1972
"Falcons",296,157,53,7.4,2202,13,15,70.8,0,0,0,0,"0",41,283,1972
"Giants",344,206,59.9,7.4,2537,20,15,83.9,0,0,0,0,"0",10,76,1972
"Jets",347,172,49.6,8.4,2930,21,22,72.3,0,0,0,0,"0",17,153,1972
"Lions",305,155,50.8,7.5,2283,19,18,71.8,0,0,0,0,"0",26,149,1972
"Oilers",375,181,48.3,5.5,2045,10,23,48.4,0,0,0,0,"0",45,372,1972
"Packers",237,101,42.6,6.5,1536,7,9,58.6,0,0,0,0,"0",17,124,1972
"Patriots",412,198,48.1,6.3,2579,10,28,48,0,0,0,0,"0",44,452,1972
"Raiders",370,198,53.5,7,2599,23,15,79.8,0,0,0,0,"0",24,230,1972
"Rams",371,184,49.6,6.2,2282,13,22,56,0,0,0,0,"0",16,136,1972
"Redskins",284,159,56,8,2281,21,15,84.8,0,0,0,0,"0",11,88,1972
"Saints",449,230,51.2,6.2,2781,18,21,64.5,0,0,0,0,"0",43,347,1972
"Steelers",324,156,48.1,6,1958,12,12,64.3,0,0,0,0,"0",32,247,1972
"Vikings",385,218,56.6,7.1,2726,19,13,81.2,0,0,0,0,"0",26,203,1972
"49ers",466,233,50,5.7,2645,9,25,51.5,0,0,0,0,"0",27,164,1973
"Bears",303,136,44.9,5.3,1617,8,16,48.5,0,0,0,0,"0",49,395,1973
"Bengals",332,180,54.2,7.3,2439,18,12,80.9,0,0,0,0,"0",24,163,1973
"Bills",213,96,45.1,5.8,1236,4,14,42.7,0,0,0,0,"0",31,239,1973
"Broncos",378,196,51.9,7.2,2706,22,20,72.5,0,0,0,0,"0",27,187,1973
"Browns",308,152,49.4,5.7,1741,10,20,50.5,0,0,0,0,"0",45,368,1973
"Cardinals",394,210,53.3,6.6,2592,16,15,71.6,0,0,0,0,"0",27,209,1973
"Chargers",363,161,44.4,5.9,2129,9,30,37.3,0,0,0,0,"0",37,321,1973
"Chiefs",313,173,55.3,6.5,2039,10,13,68.6,0,0,0,0,"0",39,296,1973
"Colts",300,137,45.7,5.8,1746,14,25,45.2,0,0,0,0,"0",32,271,1973
"Cowboys",321,192,59.8,8.1,2602,26,16,91.9,0,0,0,0,"0",43,269,1973
"Dolphins",256,133,52,6.5,1675,17,12,75.2,0,0,0,0,"0",13,93,1973
"Eagles",479,275,57.4,6.8,3236,23,13,82.8,0,0,0,0,"0",34,238,1973
"Falcons",320,168,52.5,7.4,2362,14,12,75.5,0,0,0,0,"0",41,361,1973
"Giants",412,230,55.8,6.7,2762,14,30,57.5,0,0,0,0,"0",28,201,1973
"Jets",373,181,48.5,6.3,2353,16,22,58.5,0,0,0,0,"0",37,297,1973
"Lions",327,171,52.3,6.4,2105,12,19,60.5,0,0,0,0,"0",27,192,1973
"Oilers",411,225,54.7,5.8,2370,11,27,53.3,0,0,0,0,"0",43,451,1973
"Packers",255,119,46.7,5.9,1503,7,17,46.9,0,0,0,0,"0",27,220,1973
"Patriots",380,195,51.3,6.8,2581,13,17,65.9,0,0,0,0,"0",37,350,1973
"Raiders",353,205,58.1,7.4,2611,16,18,75.2,0,0,0,0,"0",45,348,1973
"Rams",271,144,53.1,7.8,2107,22,11,88.9,0,0,0,0,"0",17,126,1973
"Redskins",372,209,56.2,6.9,2560,20,14,79.8,0,0,0,0,"0",31,202,1973
"Saints",338,163,48.2,5.6,1901,11,17,55.6,0,0,0,0,"0",37,242,1973
"Steelers",309,140,45.3,7,2157,20,26,55.4,0,0,0,0,"0",30,230,1973
"Vikings",298,179,60.1,7.5,2234,16,9,88.7,0,0,0,0,"0",32,278,1973
"49ers",361,170,47.1,6.3,2281,15,28,49.2,0,0,0,0,"0",35,274,1974
"Bears",396,185,46.7,5.3,2079,8,22,46.5,0,0,0,0,"0",36,359,1974
"Bengals",353,224,63.5,7.9,2804,18,13,89.7,0,0,0,0,"0",37,293,1974
"Bills",251,128,51,6.9,1728,14,15,67,0,0,0,0,"0",33,236,1974
"Broncos",329,184,55.9,8.1,2660,18,17,79.1,0,0,0,0,"0",46,332,1974
"Browns",367,179,48.8,5.8,2129,12,24,50.6,0,0,0,0,"0",48,402,1974
"Cardinals",391,201,51.4,6.4,2492,20,8,80,0,0,0,0,"0",16,134,1974
"Chargers",349,165,47.3,7.1,2479,12,22,56.3,0,0,0,0,"0",23,175,1974
"Chiefs",395,211,53.4,6.1,2421,11,25,55,0,0,0,0,"0",37,313,1974
"Colts",425,221,52,5.7,2424,9,24,52.7,0,0,0,0,"0",49,399,1974
"Cowboys",385,206,53.5,7.4,2856,14,15,73.5,0,0,0,0,"0",47,327,1974
"Dolphins",283,171,60.4,8.2,2313,18,18,81.2,0,0,0,0,"0",31,229,1974
"Eagles",461,258,56,5.5,2531,14,17,66.4,0,0,0,0,"0",42,319,1974
"Falcons",356,160,44.9,5,1781,4,31,27.8,0,0,0,0,"0",50,474,1974
"Giants",393,207,52.7,6,2349,12,26,53.5,0,0,0,0,"0",20,156,1974
"Jets",369,194,52.6,7.1,2631,20,24,66.6,0,0,0,0,"0",19,195,1974
"Lions",377,216,57.3,6.6,2475,11,11,74.8,0,0,0,0,"0",35,255,1974
"Oilers",363,203,55.9,6.3,2275,12,19,64,0,0,0,0,"0",33,298,1974
"Packers",385,187,48.6,5.6,2162,5,21,47.6,0,0,0,0,"0",17,126,1974
"Patriots",359,177,49.3,7,2514,19,23,63.3,0,0,0,0,"0",21,174,1974
"Raiders",335,186,55.5,7.6,2561,28,18,85.7,0,0,0,0,"0",24,177,1974
"Rams",338,169,50,7,2368,16,13,72.7,0,0,0,0,"0",21,161,1974
"Redskins",413,254,61.5,7.2,2978,22,11,90,0,0,0,0,"0",25,176,1974
"Saints",389,185,47.6,5.2,2037,10,21,49.6,0,0,0,0,"0",37,276,1974
"Steelers",386,166,43,5.6,2154,12,21,48.9,0,0,0,0,"0",18,196,1974
"Vikings",400,234,58.5,7.3,2909,22,13,85.9,0,0,0,0,"0",19,154,1974
"49ers",450,234,52,6.2,2806,15,19,64.9,0,0,0,0,"68T",33,246,1975
"Bears",356,191,53.7,6.1,2169,9,23,53.7,0,0,0,0,"57",32,330,1975
"Bengals",433,255,58.9,8.1,3497,23,14,89,0,0,0,0,"55",34,256,1975
"Bills",354,182,51.4,7.5,2661,28,19,80.2,0,0,0,0,"77T",22,168,1975
"Broncos",427,210,49.2,6.8,2900,15,34,49.9,0,0,0,0,"90T",47,359,1975
"Browns",437,220,50.3,5.3,2297,7,23,49.3,0,0,0,0,"48",38,340,1975
"Cardinals",355,187,52.7,7.4,2619,20,20,72,0,0,0,0,"80T",8,66,1975
"Chargers",337,165,49,5.9,1998,7,17,53.5,0,0,0,0,"57",50,388,1975
"Chiefs",395,217,54.9,7.1,2785,15,16,73,0,0,0,0,"69T",53,425,1975
"Colts",354,211,59.6,7.4,2606,19,8,90.9,0,0,0,0,"90T",38,325,1975
"Cowboys",376,207,55.1,7.5,2835,19,17,77.4,0,0,0,0,"62",39,242,1975
"Dolphins",279,170,60.9,7.9,2196,19,17,83,0,0,0,0,"79T",23,187,1975
"Eagles",458,238,52,5.8,2640,19,23,62.3,0,0,0,0,"62T",30,200,1975
"Falcons",388,165,42.5,6.1,2361,18,29,47.2,0,0,0,0,"68",32,294,1975
"Giants",379,193,50.9,6.5,2457,11,18,61.4,0,0,0,0,"56",49,355,1975
"Jets",384,174,45.3,6.4,2468,16,33,44.7,0,0,0,0,"91",34,317,1975
"Lions",362,183,50.6,6.2,2240,15,12,70,0,0,0,0,"65T",41,323,1975
"Oilers",347,165,47.6,6,2099,14,17,59.9,0,0,0,0,"77T",27,230,1975
"Packers",394,212,53.8,6.1,2400,11,22,58.3,0,0,0,0,"56",42,328,1975
"Patriots",401,193,48.1,6.9,2768,16,28,55.2,0,0,0,0,"76",39,330,1975
"Raiders",350,196,56,7.5,2625,19,28,64.8,0,0,0,0,"53",26,234,1975
"Rams",334,181,54.2,7.3,2450,14,17,70.6,0,0,0,0,"54T",30,255,1975
"Redskins",448,229,51.1,6.9,3092,28,29,67.3,0,0,0,0,"96T",27,175,1975
"Saints",392,181,46.2,5,1961,8,24,42.7,0,0,0,0,"71T",53,416,1975
"Steelers",337,191,56.7,7.5,2544,21,12,86.7,0,0,0,0,"59",31,290,1975
"Vikings",446,281,63,7,3121,27,14,90.8,0,0,0,0,"46",29,260,1975
"49ers",306,155,50.7,6.4,1963,15,21,58.8,0,0,0,0,"85T",34,325,1976
"Bears",278,123,44.2,6.1,1705,9,15,52.8,0,0,0,0,"63T",24,225,1976
"Bengals",360,187,51.9,6.8,2443,21,15,75.7,0,0,0,0,"85T",37,252,1976
"Bills",383,156,40.7,5.4,2084,16,17,54.1,0,0,0,0,"58T",33,246,1976
"Broncos",353,168,47.6,7.1,2510,15,22,59.6,0,0,0,0,"71T",48,306,1976
"Browns",373,209,56,6.4,2399,21,15,77.6,0,0,0,0,"52",19,152,1976
"Buccaneers",376,181,48.1,5.1,1926,9,20,49.4,0,0,0,0,"49",50,423,1976
"Cardinals",392,220,56.1,7.6,2967,18,13,81.9,0,0,0,0,"77T",17,132,1976
"Chargers",388,223,57.5,6.9,2687,17,18,74.1,0,0,0,0,"81T",46,271,1976
"Chiefs",419,229,54.7,7.9,3303,15,17,75.5,0,0,0,0,"57",42,374,1976
"Colts",361,215,59.6,8.9,3221,24,10,99.5,0,0,0,0,"79T",30,288,1976
"Cowboys",390,222,56.9,7.6,2967,17,13,81.9,0,0,0,0,"56",30,230,1976
"Dolphins",346,193,55.8,7.5,2604,15,15,76.3,0,0,0,0,"67T",37,336,1976
"Eagles",369,182,49.3,5,1844,11,18,53.6,0,0,0,0,"48T",43,352,1976
"Falcons",354,157,44.4,5.1,1809,10,24,41.5,0,0,0,0,"50T",44,395,1976
"Giants",326,175,53.7,6.5,2104,9,24,52.2,0,0,0,0,"63T",44,312,1976
"Jets",393,180,45.8,5.1,1989,7,28,37.6,0,0,0,0,"44T",45,383,1976
"Lions",356,201,56.5,7.4,2630,20,12,84.6,0,0,0,0,"74T",67,490,1976
"Oilers",423,227,53.7,5.7,2429,17,19,65.4,0,0,0,0,"69T",39,357,1976
"Packers",357,164,45.9,5.9,2105,10,22,48.6,0,0,0,0,"69T",41,375,1976
"Patriots",309,146,47.2,6.2,1910,18,20,59.7,0,0,0,0,"58T",19,164,1976
"Raiders",361,232,64.3,8.9,3195,33,18,102.2,0,0,0,0,"88T",28,290,1976
"Rams",315,171,54.3,8.3,2629,17,15,80.2,0,0,0,0,"80T",32,288,1976
"Redskins",370,187,50.5,6.2,2288,20,20,65.5,0,0,0,0,"53T",38,303,1976
"Saints",403,206,51.1,5.8,2353,8,14,61.2,0,0,0,0,"74",51,369,1976
"Seahawks",480,229,47.7,6,2874,13,30,49.8,0,0,0,0,"80T",28,225,1976
"Steelers",277,143,51.6,7,1935,10,12,68.2,0,0,0,0,"64",27,269,1976
"Vikings",442,270,61.1,7.1,3117,17,10,85.8,0,0,0,0,"56T",31,262,1976
"49ers",277,136,49.1,6.5,1797,9,17,55.3,0,0,0,0,"47T",36,289,1977
"Bears",305,161,52.8,6.8,2070,11,18,61.8,0,0,0,0,"75T",26,226,1977
"Bengals",385,192,49.9,6.6,2550,12,16,64.3,0,0,0,0,"94T",31,217,1977
"Bills",458,221,48.3,6.1,2803,12,24,54.7,0,0,0,0,"42",36,273,1977
"Broncos",313,163,52.1,7.2,2265,15,12,75.6,0,0,0,0,"81T",50,402,1977
"Browns",377,208,55.2,6.3,2374,19,31,56.8,0,0,0,0,"60",24,199,1977
"Buccaneers",321,131,40.8,5.3,1714,3,30,22.5,0,0,0,0,"67T",48,445,1977
"Cardinals",366,195,53.3,7.1,2608,14,21,65,0,0,0,0,"69T",15,109,1977
"Chargers",369,206,55.8,6.6,2442,11,20,63.5,0,0,0,0,"78",24,198,1977
"Chiefs",374,190,50.8,6.7,2514,11,26,53.3,0,0,0,0,"63",48,421,1977
"Colts",395,224,56.7,6.8,2686,17,12,79.4,0,0,0,0,"78T",26,221,1977
"Cowboys",372,215,57.8,7.2,2689,18,10,85.3,0,0,0,0,"67",33,246,1977
"Dolphins",311,182,58.5,7.3,2264,22,14,86,0,0,0,0,"73T",36,303,1977
"Eagles",349,167,47.9,6.3,2198,18,21,60.3,0,0,0,0,"55T",47,342,1977
"Falcons",297,140,47.1,5.9,1740,8,16,52.3,0,0,0,0,"73T",40,384,1977
"Giants",311,134,43.1,5.7,1762,6,22,38.6,0,0,0,0,"82",46,375,1977
"Jets",360,170,47.2,6.4,2286,14,26,50.8,0,0,0,0,"87T",35,284,1977
"Lions",384,191,49.7,5.1,1959,7,16,53.5,0,0,0,0,"61",54,441,1977
"Oilers",347,181,52.2,6.1,2107,14,21,59.1,0,0,0,0,"85T",23,232,1977
"Packers",327,164,50.2,6.2,2013,6,21,48.9,0,0,0,0,"95T",32,265,1977
"Patriots",305,160,52.5,7.1,2162,17,21,65.2,0,0,0,0,"68",14,155,1977
"Raiders",324,184,56.8,7.2,2338,21,24,70.2,0,0,0,0,"44T",25,229,1977
"Rams",339,182,53.7,6.6,2253,16,11,76.7,0,0,0,0,"58",25,237,1977
"Redskins",383,183,47.8,6,2284,15,16,62.4,0,0,0,0,"59T",52,421,1977
"Saints",321,166,51.7,6,1933,13,21,56.5,0,0,0,0,"59T",46,360,1977
"Seahawks",387,175,45.2,6.4,2459,23,32,51.6,0,0,0,0,"82T",21,131,1977
"Steelers",341,173,50.7,7.7,2632,17,21,67.5,0,0,0,0,"65T",27,245,1977
"Vikings",388,228,58.8,6.9,2692,19,22,72.7,0,0,0,0,"69T",35,324,1977
"49ers",435,190,43.7,5.3,2306,9,36,33,0,0,0,0,"58T",42,350,1978
"Bears",352,186,52.8,6.3,2221,7,28,45.9,0,0,0,0,"61",34,288,1978
"Bengals",470,250,53.2,6.5,3039,14,30,56.7,0,0,0,0,"57",38,298,1978
"Bills",388,203,52.3,6.5,2503,21,17,72.3,0,0,0,0,"92T",30,254,1978
"Broncos",391,217,55.5,6.9,2710,17,17,73.6,0,0,0,0,"42T",48,332,1978
"Browns",442,236,53.4,7.1,3137,22,21,72.9,0,0,0,0,"69T",35,278,1978
"Buccaneers",361,151,41.8,6,2171,12,18,52.3,0,0,0,0,"66",52,468,1978
"Cardinals",508,252,49.6,6.6,3357,16,21,64.2,0,0,0,0,"74",22,186,1978
"Chargers",477,271,56.8,7.5,3566,26,30,72.5,0,0,0,0,"55T",32,191,1978
"Chiefs",370,204,55.1,5.5,2032,7,16,59.2,0,0,0,0,"44",21,198,1978
"Colts",383,202,52.7,6.6,2543,17,30,55.9,0,0,0,0,"78T",49,480,1978
"Cowboys",449,251,55.9,7.6,3405,25,17,83.1,0,0,0,0,"91T",33,229,1978
"Dolphins",379,226,59.6,7.1,2707,24,18,82.9,0,0,0,0,"63T",27,238,1978
"Eagles",401,207,51.6,6.2,2485,16,16,67.6,0,0,0,0,"56T",41,288,1978
"Falcons",449,221,49.2,6.4,2883,11,23,56.7,0,0,0,0,"71",56,481,1978
"Giants",382,176,46.1,6.4,2428,13,27,48.9,0,0,0,0,"67T",38,283,1978
"Jets",388,193,49.7,7.6,2957,19,28,61.5,0,0,0,0,"77T",43,350,1978
"Lions",429,247,57.6,6.4,2746,19,18,74,0,0,0,0,"47",47,444,1978
"Oilers",373,201,53.9,6.6,2473,16,17,69.9,0,0,0,0,"80T",17,135,1978
"Packers",357,180,50.4,6.6,2358,11,18,60.9,0,0,0,0,"58T",37,274,1978
"Patriots",390,196,50.3,7.7,3006,15,25,62.2,0,0,0,0,"75T",24,206,1978
"Raiders",433,251,58,7.1,3095,16,31,62.7,0,0,0,0,"49",39,368,1978
"Rams",466,236,50.6,6.7,3109,13,22,61.7,0,0,0,0,"68T",34,235,1978
"Redskins",438,212,48.4,6.8,2978,17,21,63.7,0,0,0,0,"63",46,413,1978
"Saints",479,294,61.4,7.2,3452,17,16,81.2,0,0,0,0,"71T",37,301,1978
"Seahawks",467,261,55.9,7.3,3401,15,22,70.1,0,0,0,0,"64T",44,284,1978
"Steelers",380,212,55.8,7.8,2961,28,22,81.5,0,0,0,0,"70",25,262,1978
"Vikings",592,352,59.5,6,3528,25,34,66.6,0,0,0,0,"58T",30,285,1978
"49ers",602,361,60,6.2,3760,18,21,73.5,0,0,0,0,"50",17,119,1979
"Bears",373,195,52.3,6.5,2429,16,16,69.2,0,0,0,0,"68T",31,278,1979
"Bengals",426,228,53.5,6.6,2821,17,15,72.9,0,0,0,0,"73T",63,511,1979
"Bills",465,241,51.8,7.7,3603,14,15,74.2,0,0,0,0,"84T",43,387,1979
"Broncos",476,260,54.6,7.2,3433,18,23,70.1,0,0,0,0,"64T",43,327,1979
"Browns",545,289,53,7,3838,28,27,72.1,0,0,0,0,"74",43,347,1979
"Buccaneers",434,183,42.2,6.2,2700,19,26,52.8,0,0,0,0,"66T",12,88,1979
"Cardinals",492,248,50.4,5.8,2870,12,24,56.2,0,0,0,0,"78T",39,268,1979
"Chargers",541,338,62.5,7.6,4138,24,25,81.6,0,0,0,0,"65T",31,223,1979
"Chiefs",361,190,52.6,5.4,1953,7,18,54.2,0,0,0,0,"40",42,293,1979
"Colts",550,313,56.9,6.5,3575,18,19,73.1,0,0,0,0,"67T",52,403,1979
"Cowboys",503,287,57.1,7.7,3883,29,13,90.2,0,0,0,0,"75T",41,290,1979
"Dolphins",416,235,56.5,7.3,3018,20,22,73.4,0,0,0,0,"53",29,255,1979
"Eagles",410,209,51,7,2882,21,13,77.7,0,0,0,0,"53T",34,272,1979
"Falcons",479,251,52.4,6.5,3127,19,23,66.2,0,0,0,0,"57",54,398,1979
"Giants",401,190,47.4,6,2419,15,22,56.3,0,0,0,0,"61",59,465,1979
"Jets",369,190,51.5,7.8,2864,16,25,63.6,0,0,0,0,"72T",32,266,1979
"Lions",452,218,48.2,6.1,2775,14,27,53.3,0,0,0,0,"82",51,439,1979
"Oilers",386,195,50.5,6.5,2494,17,21,63.1,0,0,0,0,"55T",32,238,1979
"Packers",444,240,54.1,6.9,3057,15,22,66.4,0,0,0,0,"78T",47,376,1979
"Patriots",475,237,49.9,7.6,3600,30,23,76.1,0,0,0,0,"63T",49,382,1979
"Raiders",513,311,60.6,7.2,3704,27,23,81.6,0,0,0,0,"66T",36,293,1979
"Rams",456,242,53.1,6.6,3032,19,29,61.4,0,0,0,0,"71T",39,359,1979
"Redskins",401,235,58.6,7.1,2839,20,15,81.5,0,0,0,0,"62",34,263,1979
"Saints",428,257,60,7.7,3291,16,22,75.2,0,0,0,0,"85",17,140,1979
"Seahawks",523,292,55.8,7.2,3791,20,18,77.2,0,0,0,0,"65T",23,201,1979
"Steelers",492,272,55.3,7.9,3877,26,26,76.6,0,0,0,0,"65T",27,222,1979
"Vikings",566,315,55.7,6,3397,23,24,69.3,0,0,0,0,"55T",37,258,1979
"49ers",597,363,60.8,6.4,3799,27,26,76.2,0,0,0,0,"93T",30,222,1980
"Bears",404,209,51.7,6.6,2669,13,25,57.7,0,0,0,0,"89T",33,274,1980
"Bengals",510,281,55.1,6.1,3102,17,25,64,0,0,0,0,"67T",37,287,1980
"Bills",461,262,56.8,6.4,2936,20,19,73.3,0,0,0,0,"69",20,186,1980
"Broncos",467,262,56.1,6.7,3107,14,25,64.2,0,0,0,0,"52",44,330,1980
"Browns",554,337,60.8,7.5,4132,30,14,91.4,0,0,0,0,"65",23,217,1980
"Buccaneers",530,256,48.3,6.4,3414,20,17,68.4,0,0,0,0,"61",24,194,1980
"Cardinals",470,239,50.9,6.5,3063,16,24,61.7,0,0,0,0,"69T",50,387,1980
"Chargers",594,350,58.9,8,4741,30,26,83,0,0,0,0,"65",32,210,1980
"Chiefs",401,237,59.1,7.2,2869,15,14,79.1,0,0,0,0,"77",57,421,1980
"Colts",493,272,55.2,6.9,3409,25,24,73.5,0,0,0,0,"47",36,281,1980
"Cowboys",449,265,59,7.5,3356,30,25,81.5,0,0,0,0,"58T",31,252,1980
"Dolphins",492,267,54.3,6,2953,21,26,64.5,0,0,0,0,"61",31,265,1980
"Eagles",477,275,57.7,7.9,3771,28,12,92.2,0,0,0,0,"56T",32,247,1980
"Falcons",467,259,55.5,7.6,3568,31,17,87.1,0,0,0,0,"81T",35,324,1980
"Giants",514,245,47.7,5.7,2931,19,25,57.6,0,0,0,0,"58T",47,322,1980
"Jets",481,265,55.1,6.9,3335,17,30,62.7,0,0,0,0,"55",42,326,1980
"Lions",423,248,58.6,7.8,3287,13,12,81.7,0,0,0,0,"87T",45,346,1980
"Oilers",463,296,63.9,7.1,3271,15,28,70.4,0,0,0,0,"79T",27,264,1980
"Packers",511,289,56.6,7.1,3651,15,29,65.1,0,0,0,0,"69T",43,360,1980
"Patriots",413,240,58.1,8.2,3395,27,27,79.3,0,0,0,0,"71",25,200,1980
"Raiders",456,235,51.5,7.2,3294,23,24,70,0,0,0,0,"86T",47,395,1980
"Rams",451,261,57.9,7.6,3441,31,23,83.8,0,0,0,0,"74T",29,234,1980
"Redskins",486,284,58.4,6.5,3171,17,18,74.2,0,0,0,0,"54T",36,333,1980
"Saints",566,334,59,7.1,4010,26,22,79.9,0,0,0,0,"56",46,362,1980
"Seahawks",517,287,55.5,6.8,3494,18,23,69.6,0,0,0,0,"67T",51,398,1980
"Steelers",484,250,51.7,7.9,3832,26,24,75.4,0,0,0,0,"72",37,264,1980
"Vikings",574,331,57.7,6.9,3934,22,23,74.8,0,0,0,0,"76T",41,246,1980
"49ers",517,328,63.4,7.3,3766,20,13,87.7,0,0,0,0,"78T",29,223,1981
"Bears",489,222,45.4,5.6,2728,14,23,53.1,0,0,0,0,"85T",35,266,1981
"Bengals",550,332,60.4,7.6,4200,30,12,93.3,0,0,0,0,"74T",35,205,1981
