"Team","Att","Cmp","Cmp %","Yds/Att","Pass Yds","TD","INT","Rate","1st","1st%","20+","40+","Lng","Sck","SckY","Year"
"Titans",464,288,62.1,6.6,3077,9,17,72.6,171,36.9,28,7,"73",30,199,2007
"Vikings",432,249,57.6,6.8,2938,12,14,74.2,139,32.2,25,8,"79",38,193,2007
"49ers",509,309,60.7,7.3,3724,21,19,81.4,176,34.6,55,6,"63",55,345,2008
"Bears",528,304,57.6,6.1,3229,20,14,77.1,153,29,35,3,"65T",29,168,2008
"Bengals",513,303,59.1,5.2,2677,11,15,68,145,28.3,21,2,"79",51,271,2008
"Bills",479,309,64.5,6.9,3302,14,15,81.3,167,34.9,38,6,"87T",38,262,2008
"Broncos",620,386,62.3,7.3,4545,25,18,85.9,223,36,55,7,"93T",12,74,2008
"Browns",488,238,48.8,5.2,2537,11,20,54.8,127,26,26,6,"70",24,157,2008
"Buccaneers",562,355,63.2,6.7,3788,18,13,83.8,184,32.7,42,5,"71T",32,169,2008
"Cardinals",630,418,66.3,7.7,4875,31,15,96.1,231,36.7,54,13,"79T",28,201,2008
"Chargers",478,312,65.3,8.4,4009,34,11,105.5,191,40,48,12,"67",25,151,2008
"Chiefs",541,310,57.3,6.2,3358,23,16,77.5,161,29.8,35,5,"75",37,229,2008
"Colts",585,393,67.2,7.1,4180,27,12,94.7,220,37.6,42,7,"75",14,86,2008
"Cowboys",547,328,60,7.3,3988,29,20,84.9,171,31.3,54,12,"75T",31,199,2008
"Dolphins",491,330,67.2,7.7,3761,20,7,97.6,184,37.5,39,8,"80T",26,129,2008
"Eagles",606,362,59.7,6.7,4060,23,16,81.4,204,33.7,52,11,"90T",23,149,2008
"Falcons",434,265,61.1,7.9,3440,16,11,87.7,157,36.2,45,9,"70T",17,104,2008
"Giants",491,298,60.7,6.8,3353,23,10,88.2,176,35.8,34,4,"48",28,176,2008
"Jaguars",537,335,62.4,6.7,3620,15,13,81.4,183,34.1,42,1,"41",42,288,2008
"Jets",529,347,65.6,6.6,3516,22,23,80.2,186,35.2,40,7,"56T",30,213,2008
"Lions",509,281,55.2,6.5,3299,18,19,71.3,143,28.1,43,7,"96T",52,339,2008
"Packers",541,343,63.4,7.5,4044,28,13,93.3,182,33.6,48,16,"71T",34,231,2008
"Panthers",414,246,59.4,7.9,3288,15,12,84.7,152,36.7,45,9,"65T",20,130,2008
"Patriots",534,339,63.5,7.1,3790,21,11,89.1,186,34.8,38,6,"76T",48,221,2008
"Raiders",421,222,52.7,6.3,2639,13,11,71.6,123,29.2,39,5,"84T",39,270,2008
"Rams",520,292,56.2,6.3,3268,11,19,66.9,140,26.9,41,8,"80T",45,321,2008
"Ravens",433,261,60.3,7.1,3085,16,12,82.8,147,33.9,40,11,"70T",33,277,2008
"Redskins",510,318,62.4,6.5,3291,14,6,85.2,165,32.4,34,3,"67T",38,266,2008
"Saints",636,413,64.9,8,5069,34,18,95.4,232,36.5,66,16,"84T",13,92,2008
"Seahawks",474,262,55.3,6,2831,18,15,72.5,142,30,29,5,"90T",36,214,2008
"Steelers",506,303,59.9,7.1,3607,19,15,81.9,179,35.4,39,8,"65T",49,306,2008
"Texans",555,367,66.1,8.1,4474,21,20,88.4,210,37.8,60,12,"65",32,207,2008
"Titans",453,265,58.5,6.4,2902,13,9,78.8,143,31.6,36,5,"56T",12,83,2008
"Vikings",452,267,59.1,7.1,3217,22,17,81.5,150,33.2,40,12,"99T",43,261,2008
"49ers",528,312,59.1,6.2,3293,23,14,80.8,137,25.9,42,7,"73T",40,241,2009
"Bears",563,340,60.4,6.5,3677,27,27,75.6,170,30.2,56,6,"71",35,204,2009
"Bengals",477,286,60,6.6,3134,21,13,82.7,159,33.3,36,5,"73",29,244,2009
"Bills",441,256,58,6.3,2789,17,19,71.7,126,28.6,31,6,"98T",46,274,2009
"Broncos",558,341,61.1,6.9,3825,21,13,84.4,186,33.3,43,9,"87T",34,198,2009
"Browns",443,219,49.4,5.1,2255,11,18,55.8,118,26.6,25,4,"59T",30,179,2009
"Buccaneers",524,279,53.2,6,3134,18,29,59.8,148,28.2,40,4,"47",33,161,2009
"Cardinals",594,392,66,7.1,4200,27,18,89.1,215,36.2,49,3,"45",26,184,2009
"Chargers",519,338,65.1,8.7,4506,29,10,103.1,222,42.8,67,13,"81T",26,168,2009
"Chiefs",536,296,55.2,5.9,3183,18,17,70.8,139,25.9,41,9,"61",45,261,2009
